code_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-0.2
'bali_phy_msa.373.fas', 134.132, 127.556, 1383.699, 1145.565
'bali_phy_msa.374.fas', 133.526, 126.502, 1356.197, 1141.985
'bali_phy_msa.375.fas', 134.576, 128.025, 1381.794, 1178.076
'bali_phy_msa.376.fas', 133.867, 127.33, 1470.173, 1176.612
'bali_phy_msa.377.fas', 134.888, 128.415, 1451.086, 1186.721
'bali_phy_msa.378.fas', 132.839, 126.234, 1360.382, 1162.714
'bali_phy_msa.379.fas', 134.52, 127.975, 1404.743, 1160.579
'bali_phy_msa.38.fas', 135.43, 129.078, 1370.208, 1189.584
'bali_phy_msa.380.fas', 131.306, 124.122, 1278.063, 1130.096
'bali_phy_msa.381.fas', 134.679, 128.38, 1391.8, 1168.747
'bali_phy_msa.382.fas', 133.976, 127.295, 1336.718, 1151.409
'bali_phy_msa.383.fas', 134.99, 128.755, 1406.877, 1173.424
'bali_phy_msa.384.fas', 133.904, 127.006, 1310.318, 1145.167
'bali_phy_msa.385.fas', 134.7, 128.335, 1371.816, 1177.31
'bali_phy_msa.386.fas', 133.806, 126.941, 1246.208, 1118.216
'bali_phy_msa.387.fas', 134.46, 127.779, 1389.108, 1156.426
'bali_phy_msa.388.fas', 134.732, 127.968, 1442.483, 1172.062
'bali_phy_msa.389.fas', 133.957, 127.228, 1370.007, 1157.739
'bali_phy_msa.39.fas', 133.085, 126.783, 1459.379, 1158.583
'bali_phy_msa.390.fas', 134.072, 127.389, 1291.957, 1162.082
'bali_phy_msa.391.fas', 133.977, 127.816, 1418.693, 1161.313
'bali_phy_msa.392.fas', 134.097, 127.247, 1398.459, 1155.519
'bali_phy_msa.393.fas', 135.03, 129.057, 1440.798, 1180.999
'bali_phy_msa.394.fas', 134.058, 127.511, 1371.182, 1152.341
