code_PAM250_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-1
'bali_phy_msa.364.fas', 109.005, 98.264, 1009.276, 870.633
'bali_phy_msa.365.fas', 110.637, 100.727, 1107.019, 899.714
'bali_phy_msa.366.fas', 106.584, 95.563, 959.223, 817.624
'bali_phy_msa.367.fas', 110.18, 100.152, 1311.058, 919.679
'bali_phy_msa.368.fas', 111.548, 101.668, 1129.952, 921.893
'bali_phy_msa.369.fas', 108.291, 97.407, 956.289, 860.916
'bali_phy_msa.37.fas', 111.736, 101.547, 1015.917, 925.245
'bali_phy_msa.370.fas', 111.738, 102.058, 1197.703, 935.014
'bali_phy_msa.371.fas', 109.891, 99.751, 1210.467, 903.502
'bali_phy_msa.372.fas', 105.455, 93.977, 958.723, 831.986
'bali_phy_msa.373.fas', 110.186, 99.897, 1103.707, 888.498
'bali_phy_msa.374.fas', 108.445, 97.395, 1066.198, 872.993
'bali_phy_msa.375.fas', 111.485, 101.301, 1112.42, 925.526
'bali_phy_msa.376.fas', 109.707, 99.4, 1176.838, 911.91
'bali_phy_msa.377.fas', 111.364, 101.272, 1167.572, 927.577
'bali_phy_msa.378.fas', 108.969, 98.665, 1080.753, 902.36
'bali_phy_msa.379.fas', 110.846, 100.61, 1124.733, 904.364
'bali_phy_msa.38.fas', 111.67, 101.542, 1092.371, 928.221
'bali_phy_msa.380.fas', 107.236, 96.273, 1004.008, 868.047
'bali_phy_msa.381.fas', 111.363, 101.511, 1116.434, 913.546
'bali_phy_msa.382.fas', 109.281, 98.737, 1054.117, 886.568
'bali_phy_msa.383.fas', 110.821, 100.714, 1120.953, 910.524
'bali_phy_msa.384.fas', 109.594, 98.706, 1036.615, 886.521
'bali_phy_msa.385.fas', 110.373, 100.167, 1090.728, 914.196
'bali_phy_msa.386.fas', 109.348, 98.549, 978.404, 860.525
'bali_phy_msa.387.fas', 109.68, 99.125, 1098.853, 889.584
'bali_phy_msa.388.fas', 110.389, 99.735, 1151.923, 908.348
'bali_phy_msa.389.fas', 109.531, 98.829, 1085.457, 893.855
'bali_phy_msa.39.fas', 109.625, 99.685, 1172.497, 901.989
'bali_phy_msa.390.fas', 109.023, 98.465, 1010.432, 891.112
'bali_phy_msa.391.fas', 109.826, 100.088, 1133.337, 900.994
'bali_phy_msa.392.fas', 108.985, 98.066, 1101.669, 884.851
'bali_phy_msa.393.fas', 111.827, 102.387, 1163.474, 926.963
'bali_phy_msa.394.fas', 108.643, 98.044, 1076.496, 879.697
'bali_phy_msa.395.fas', 109.86, 99.63, 1083.773, 915.608
'bali_phy_msa.396.fas', 110.035, 100.01, 1043.669, 889.502
'bali_phy_msa.397.fas', 110.23, 99.613, 1093.412, 899.99
'bali_phy_msa.398.fas', 110.636, 100.442, 1097.656, 909.761
'bali_phy_msa.399.fas', 111.558, 101.27, 1099.233, 927.29
'bali_phy_msa.4.fas', 111.875, 101.688, 1125.614, 921.072
'bali_phy_msa.40.fas', 107.333, 96.035, 1004.124, 847.648
'bali_phy_msa.400.fas', 110.927, 100.854, 1072.452, 902.618
'bali_phy_msa.41.fas', 109.232, 98.725, 1159.001, 885.828
'bali_phy_msa.42.fas', 108.876, 98.43, 1066.067, 886.294
'bali_phy_msa.43.fas', 107.747, 97.326, 1069.052, 877.711
'bali_phy_msa.44.fas', 110.046, 99.794, 1129.648, 905.078
'bali_phy_msa.45.fas', 111.908, 101.677, 1088.115, 925.938
'bali_phy_msa.46.fas', 105.274, 94.137, 1060.833, 837.686
'bali_phy_msa.47.fas', 110.44, 99.816, 1101.788, 910.289
'bali_phy_msa.48.fas', 108.479, 97.886, 1045.84, 884.063
'bali_phy_msa.49.fas', 111.165, 101.53, 1253.801, 920.885
'bali_phy_msa.5.fas', 109.697, 99.152, 1009.232, 870.364
'bali_phy_msa.50.fas', 107.996, 97.484, 1113.153, 881.177
'bali_phy_msa.51.fas', 109.86, 99.705, 1120.332, 904.582
'bali_phy_msa.52.fas', 109.397, 99.332, 1004.314, 892.513
'bali_phy_msa.53.fas', 106.332, 95.176, 913.804, 842.518
'bali_phy_msa.54.fas', 109.616, 98.77, 1004.945, 864.39
'bali_phy_msa.55.fas', 108.565, 98.065, 1147.104, 867.103
'bali_phy_msa.56.fas', 109.288, 98.778, 1000.233, 891.93
'bali_phy_msa.57.fas', 110.195, 100.03, 1128.944, 898.815
'bali_phy_msa.58.fas', 108.915, 98.137, 1053.616, 877.965
'bali_phy_msa.59.fas', 108.905, 98.689, 1135.802, 897.386
'bali_phy_msa.6.fas', 111.093, 101.085, 1091.732, 910.442
'bali_phy_msa.60.fas', 108.531, 97.907, 1070.346, 881.559
'bali_phy_msa.61.fas', 108.397, 98.086, 1079.075, 877.959
'bali_phy_msa.62.fas', 111.088, 100.931, 1172.577, 919.31
'bali_phy_msa.63.fas', 109.448, 98.647, 970.324, 874.443
'bali_phy_msa.64.fas', 106.975, 96.242, 978.707, 880.097
'bali_phy_msa.65.fas', 107.675, 96.573, 1054.761, 861.614
'bali_phy_msa.66.fas', 108.9, 98.117, 1100.195, 875.713
'bali_phy_msa.67.fas', 108.694, 97.873, 953.499, 874.56
'bali_phy_msa.68.fas', 111.376, 101.522, 1089.723, 927.602
