code_PAM250_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-1
'bali_phy_msa.334.fas', -8.579, -4.317, -11.582, -12.171
'bali_phy_msa.335.fas', -12.859, -9.804, -14.566, -17.48
'bali_phy_msa.336.fas', -10.375, -6.314, -10.719, -14.79
'bali_phy_msa.337.fas', -9.347, -5.264, -9.735, -13.637
'bali_phy_msa.338.fas', -9.904, -5.671, -12.244, -14.107
'bali_phy_msa.339.fas', -8.23, -3.897, -10.832, -12.556
'bali_phy_msa.34.fas', -6.769, -2.098, -11.042, -11.562
'bali_phy_msa.340.fas', -8.733, -4.716, -11.512, -12.806
'bali_phy_msa.341.fas', -7.985, -3.567, -8.958, -12.397
'bali_phy_msa.342.fas', -10.911, -7.36, -8.25, -16.547
'bali_phy_msa.343.fas', -12.208, -8.46, -13.191, -16.737
'bali_phy_msa.344.fas', -10.401, -6.552, -13.047, -13.383
'bali_phy_msa.345.fas', -9.225, -5.113, -11.51, -13.003
'bali_phy_msa.346.fas', -8.884, -4.672, -8.766, -14.251
'bali_phy_msa.347.fas', -9.025, -4.807, -10.083, -13.354
'bali_phy_msa.348.fas', -11.199, -7.607, -10.517, -14.417
'bali_phy_msa.349.fas', -9.621, -5.659, -10.04, -12.848
'bali_phy_msa.35.fas', -10.318, -5.874, -14.384, -14.149
'bali_phy_msa.350.fas', -9.697, -5.653, -7.453, -14.932
'bali_phy_msa.351.fas', -11.176, -7.541, -9.969, -14.88
'bali_phy_msa.352.fas', -10.289, -6.431, -10.9, -13.967
'bali_phy_msa.353.fas', -9.514, -5.317, -10.479, -13.093
'bali_phy_msa.354.fas', -11.027, -7.465, -10.697, -15.29
'bali_phy_msa.355.fas', -10.306, -6.291, -11.268, -14.28
'bali_phy_msa.356.fas', -11.738, -8.281, -12.068, -15.698
'bali_phy_msa.357.fas', -8.346, -3.944, -10.966, -10.871
'bali_phy_msa.358.fas', -11.959, -8.393, -12.697, -15.483
'bali_phy_msa.359.fas', -10.334, -6.619, -11.641, -14.789
'bali_phy_msa.36.fas', -9.764, -5.509, -11.162, -12.833
'bali_phy_msa.360.fas', -7.655, -3.018, -10.914, -11.857
'bali_phy_msa.361.fas', -8.725, -4.581, -10.035, -11.855
'bali_phy_msa.362.fas', -9.658, -5.595, -9.449, -13.723
'bali_phy_msa.363.fas', -6.978, -2.472, -8.926, -11.323
'bali_phy_msa.364.fas', -10.046, -6.442, -11.3, -13.343
'bali_phy_msa.365.fas', -9.893, -6.007, -12.183, -14.095
