code_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-0.2
'bali_phy_msa.263.fas', 151.924, 146.251, 1521.05, 1327.503
'bali_phy_msa.264.fas', 151.055, 145.073, 1295.449, 1273.291
'bali_phy_msa.265.fas', 152.336, 146.999, 1609.778, 1364.428
'bali_phy_msa.266.fas', 150.526, 144.72, 1537.952, 1329.072
'bali_phy_msa.267.fas', 152.409, 146.894, 1629.866, 1342.582
'bali_phy_msa.268.fas', 150.701, 144.729, 1531.888, 1275.189
'bali_phy_msa.269.fas', 151.295, 145.679, 1576.568, 1328.784
'bali_phy_msa.27.fas', 148.784, 142.496, 1545.357, 1277.989
'bali_phy_msa.270.fas', 150.912, 145.064, 1476.32, 1314.878
'bali_phy_msa.271.fas', 152.156, 146.418, 1499.084, 1340.704
'bali_phy_msa.272.fas', 150.851, 145.004, 1519.143, 1328.44
'bali_phy_msa.273.fas', 150.669, 145.124, 1626.366, 1315.11
'bali_phy_msa.274.fas', 150.629, 145.163, 1659.447, 1344.0
'bali_phy_msa.275.fas', 152.115, 146.566, 1487.633, 1341.656
'bali_phy_msa.276.fas', 152.251, 146.429, 1570.63, 1311.836
'bali_phy_msa.277.fas', 150.942, 144.541, 1468.798, 1279.416
'bali_phy_msa.278.fas', 152.197, 146.828, 1628.263, 1327.889
'bali_phy_msa.279.fas', 152.068, 146.618, 1712.731, 1362.042
'bali_phy_msa.28.fas', 150.022, 144.241, 1539.34, 1337.957
'bali_phy_msa.280.fas', 150.463, 144.494, 1592.365, 1292.501
'bali_phy_msa.281.fas', 151.716, 146.163, 1650.574, 1354.383
'bali_phy_msa.282.fas', 151.349, 145.518, 1447.934, 1317.783
'bali_phy_msa.283.fas', 150.648, 144.676, 1534.529, 1290.986
'bali_phy_msa.284.fas', 151.723, 146.126, 1601.155, 1325.058
'bali_phy_msa.285.fas', 152.522, 146.844, 1533.794, 1329.947
'bali_phy_msa.286.fas', 150.112, 143.974, 1345.965, 1289.52
'bali_phy_msa.287.fas', 152.32, 146.912, 1643.157, 1368.941
'bali_phy_msa.288.fas', 149.534, 143.192, 1431.709, 1259.699
'bali_phy_msa.289.fas', 151.714, 145.862, 1573.987, 1311.329
'bali_phy_msa.29.fas', 152.034, 146.356, 1626.879, 1338.578
'bali_phy_msa.290.fas', 151.378, 145.418, 1472.854, 1289.008
'bali_phy_msa.291.fas', 151.14, 145.487, 1596.293, 1324.66
'bali_phy_msa.292.fas', 152.962, 147.491, 1568.543, 1351.834
'bali_phy_msa.293.fas', 150.359, 144.518, 1592.215, 1322.668
'bali_phy_msa.294.fas', 151.804, 146.078, 1593.494, 1341.317
'bali_phy_msa.295.fas', 149.967, 143.958, 1413.523, 1291.274
'bali_phy_msa.296.fas', 152.526, 146.898, 1577.355, 1338.471
'bali_phy_msa.297.fas', 150.697, 144.83, 1367.9, 1313.484
'bali_phy_msa.298.fas', 152.307, 146.787, 1651.094, 1362.914
'bali_phy_msa.299.fas', 148.95, 142.916, 1486.197, 1279.966
'bali_phy_msa.3.fas', 149.983, 143.525, 1315.098, 1241.439
'bali_phy_msa.30.fas', 150.664, 144.541, 1506.389, 1284.385
