code_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-1
'bali_phy_msa.338.fas', 94.603, 84.592, 967.95, 774.442
'bali_phy_msa.339.fas', 94.175, 83.965, 928.887, 759.653
'bali_phy_msa.34.fas', 91.876, 80.71, 884.417, 721.377
'bali_phy_msa.340.fas', 92.059, 81.146, 878.847, 706.695
'bali_phy_msa.341.fas', 90.915, 79.296, 831.629, 699.016
'bali_phy_msa.342.fas', 92.042, 81.199, 896.119, 718.654
'bali_phy_msa.343.fas', 92.492, 81.774, 933.774, 739.964
'bali_phy_msa.344.fas', 92.257, 81.33, 886.618, 737.161
'bali_phy_msa.345.fas', 92.923, 82.682, 796.029, 759.709
'bali_phy_msa.346.fas', 90.786, 79.772, 979.001, 727.003
'bali_phy_msa.347.fas', 91.672, 80.74, 826.975, 726.118
'bali_phy_msa.348.fas', 92.714, 82.25, 1004.097, 760.032
'bali_phy_msa.349.fas', 91.268, 80.122, 850.865, 719.211
'bali_phy_msa.35.fas', 94.658, 84.61, 923.924, 783.857
'bali_phy_msa.350.fas', 94.133, 83.811, 917.085, 765.156
'bali_phy_msa.351.fas', 92.484, 81.896, 909.467, 732.184
'bali_phy_msa.352.fas', 91.292, 80.583, 935.881, 719.892
'bali_phy_msa.353.fas', 94.696, 84.402, 978.699, 763.043
'bali_phy_msa.354.fas', 92.375, 81.928, 850.016, 722.674
'bali_phy_msa.355.fas', 92.818, 81.961, 909.363, 730.789
'bali_phy_msa.356.fas', 92.849, 82.414, 927.796, 729.521
'bali_phy_msa.357.fas', 93.057, 81.87, 876.507, 720.998
'bali_phy_msa.358.fas', 90.323, 78.597, 793.246, 686.713
'bali_phy_msa.359.fas', 93.501, 82.971, 952.77, 746.618
'bali_phy_msa.36.fas', 92.953, 82.654, 866.562, 739.635
