code_K5,k_mer_max_K5,k_mer_average_K5,k_mer_95_pct_K5,k_mer_90_pct_K5,kmer_sum_of_top_10_K5
'bali_phy_msa.373.fas', 17652, 6.621, 4, 3, 18048
'bali_phy_msa.374.fas', 15913, 6.231, 4, 3, 16277
'bali_phy_msa.375.fas', 16317, 6.401, 5, 3, 16758
'bali_phy_msa.376.fas', 16012, 6.257, 4, 3, 16419
'bali_phy_msa.377.fas', 17185, 6.607, 4, 3, 17638
'bali_phy_msa.378.fas', 16949, 6.457, 4, 3, 17380
'bali_phy_msa.379.fas', 16194, 6.247, 4, 3, 16577
'bali_phy_msa.38.fas', 16629, 6.541, 4, 3, 17108
'bali_phy_msa.380.fas', 16418, 6.349, 4, 3, 16830
'bali_phy_msa.381.fas', 16260, 6.18, 4, 3, 16637
'bali_phy_msa.382.fas', 16626, 6.481, 4, 3, 17098
'bali_phy_msa.383.fas', 17377, 6.643, 4, 3, 17942
'bali_phy_msa.384.fas', 16704, 6.422, 4, 3, 17147
'bali_phy_msa.385.fas', 16235, 6.417, 4, 3, 16690
'bali_phy_msa.386.fas', 16333, 6.274, 4, 3, 16758
'bali_phy_msa.387.fas', 16560, 6.561, 5, 3, 17006
'bali_phy_msa.388.fas', 16582, 6.487, 4, 3, 17033
'bali_phy_msa.389.fas', 16557, 6.373, 4, 3, 16973
'bali_phy_msa.39.fas', 16602, 6.457, 4, 3, 17042
'bali_phy_msa.390.fas', 16838, 6.516, 4, 3, 17227
'bali_phy_msa.391.fas', 16255, 6.412, 5, 3, 16733
'bali_phy_msa.392.fas', 16391, 6.366, 4, 3, 16815
'bali_phy_msa.393.fas', 17249, 6.896, 5, 3, 17819
'bali_phy_msa.394.fas', 17451, 6.679, 4, 3, 17898
'bali_phy_msa.395.fas', 16528, 6.324, 4, 3, 16941
'bali_phy_msa.396.fas', 16520, 6.182, 4, 3, 16905
'bali_phy_msa.397.fas', 16703, 6.555, 4, 3, 17168
'bali_phy_msa.398.fas', 16856, 6.761, 5, 3, 17320
'bali_phy_msa.399.fas', 16173, 6.231, 4, 3, 16569
'bali_phy_msa.4.fas', 16694, 6.501, 4, 3, 17137
'bali_phy_msa.40.fas', 16276, 6.442, 5, 3, 16728
'bali_phy_msa.400.fas', 16303, 6.312, 4, 3, 16746
'bali_phy_msa.41.fas', 16466, 6.351, 4, 3, 16898
'bali_phy_msa.42.fas', 16379, 6.363, 4, 3, 16796
'bali_phy_msa.43.fas', 16272, 6.421, 4, 3, 16758
'bali_phy_msa.44.fas', 16673, 6.409, 4, 3, 17060
'bali_phy_msa.45.fas', 16219, 6.224, 4, 3, 16636
'bali_phy_msa.46.fas', 16642, 6.357, 4, 3, 17058
'bali_phy_msa.47.fas', 16679, 6.542, 4, 3, 17153
'bali_phy_msa.48.fas', 16202, 6.413, 5, 3, 16641
'bali_phy_msa.49.fas', 16489, 6.382, 4, 3, 16878
'bali_phy_msa.5.fas', 16739, 6.528, 4, 3, 17179
'bali_phy_msa.50.fas', 16787, 6.399, 4, 3, 17184
'bali_phy_msa.51.fas', 17522, 6.725, 4, 3, 17973
'bali_phy_msa.52.fas', 16337, 6.269, 4, 3, 16720
'bali_phy_msa.53.fas', 17163, 6.477, 4, 3, 17533
'bali_phy_msa.54.fas', 16299, 6.406, 4, 3, 16722
'bali_phy_msa.55.fas', 17438, 6.584, 4, 3, 17872
'bali_phy_msa.56.fas', 16452, 6.24, 4, 3, 16868
'bali_phy_msa.57.fas', 16902, 6.486, 4, 3, 17350
'bali_phy_msa.58.fas', 16431, 6.646, 5, 3, 16908
'bali_phy_msa.59.fas', 16481, 6.751, 5, 3, 16974
'bali_phy_msa.6.fas', 16414, 6.399, 4, 3, 16841
'bali_phy_msa.60.fas', 16029, 6.106, 4, 3, 16384
'bali_phy_msa.61.fas', 16789, 6.388, 4, 3, 17188
'bali_phy_msa.62.fas', 16429, 6.381, 4, 3, 16930
'bali_phy_msa.63.fas', 16545, 6.286, 4, 3, 16982
'bali_phy_msa.64.fas', 16244, 6.177, 4, 3, 16670
'bali_phy_msa.65.fas', 16170, 6.226, 4, 3, 16591
'bali_phy_msa.66.fas', 16946, 6.51, 4, 3, 17380
'bali_phy_msa.67.fas', 16600, 6.548, 5, 3, 17050
'bali_phy_msa.68.fas', 16279, 6.281, 4, 3, 16680
'bali_phy_msa.69.fas', 16598, 6.345, 4, 3, 17007
'bali_phy_msa.7.fas', 17403, 6.635, 4, 3, 17824
'bali_phy_msa.70.fas', 16796, 6.397, 4, 3, 17198
'bali_phy_msa.71.fas', 16400, 6.528, 5, 3, 16892
'bali_phy_msa.72.fas', 16272, 6.241, 4, 3, 16619
'bali_phy_msa.73.fas', 16374, 6.429, 4, 3, 16855
'bali_phy_msa.74.fas', 16331, 6.304, 4, 3, 16761
'bali_phy_msa.75.fas', 16134, 6.428, 5, 3, 16586
'bali_phy_msa.76.fas', 16391, 6.365, 4, 3, 16850
'bali_phy_msa.77.fas', 16020, 6.135, 4, 3, 16446
'bali_phy_msa.78.fas', 16831, 6.478, 4, 3, 17244
'bali_phy_msa.79.fas', 16458, 6.337, 4, 3, 16854
'bali_phy_msa.8.fas', 16546, 6.508, 4, 3, 16986
'bali_phy_msa.80.fas', 16413, 6.383, 4, 3, 16892
'bali_phy_msa.81.fas', 16109, 6.391, 5, 3, 16550
'bali_phy_msa.82.fas', 16693, 6.532, 5, 3, 17154
'bali_phy_msa.83.fas', 17480, 6.761, 4, 3, 17948
'bali_phy_msa.84.fas', 16799, 6.495, 4, 3, 17278
'bali_phy_msa.85.fas', 16509, 6.538, 4, 3, 17004
'bali_phy_msa.86.fas', 16666, 6.579, 4, 3, 17119
'bali_phy_msa.87.fas', 16349, 6.259, 4, 3, 16717
'bali_phy_msa.88.fas', 16794, 6.465, 4, 3, 17196
'bali_phy_msa.89.fas', 16483, 6.325, 4, 3, 16896
'bali_phy_msa.9.fas', 16418, 6.645, 4, 3, 17039
'bali_phy_msa.90.fas', 16608, 6.393, 4, 3, 17024
'bali_phy_msa.91.fas', 16836, 6.473, 4, 3, 17277
'bali_phy_msa.92.fas', 17070, 6.641, 5, 3, 17555
'bali_phy_msa.93.fas', 15993, 6.113, 4, 3, 16389
'bali_phy_msa.94.fas', 15985, 6.138, 4, 3, 16358
'bali_phy_msa.95.fas', 16836, 6.55, 4, 3, 17288
'bali_phy_msa.96.fas', 16813, 6.428, 4, 3, 17188
'bali_phy_msa.97.fas', 17404, 6.564, 4, 3, 17816
'bali_phy_msa.98.fas', 16611, 6.527, 4, 3, 17106
'bali_phy_msa.99.fas', 16632, 6.422, 4, 3, 17111
'MAFFT_b0#0051_hhH_tree_47_OP_1.2558167082838578_Split_51.fasta', 14021, 5.477, 4, 3, 14383
