code_BLOSUM62_GO_-10_GE_-0.2,sp_match_count,sp_match_count_norm,sp_mismatch_count,sp_mismatch_count_norm,sp_go,sp_go_norm,sp_ge,sp_ge_norm,sp_match_BLOSUM62,sp_match_norm_BLOSUM62,sp_mismatch_BLOSUM62,sp_mismatch_norm_BLOSUM62,sp_BLOSUM62_GO_-10_GE_-0.2,sp_norm_BLOSUM62_GO_-10_GE_-0.2
'MUSCLE_diversified_replicate.abc.285.afa', 32310.0, 0.064, 31236, 0.062, 5166, 0.01, 94829, 0.188, 175286.0, 0.348, -19554, -0.039, 85106.2, 0.169
'MUSCLE_diversified_replicate.abc.289.afa', 32170.0, 0.062, 30715, 0.059, 5021, 0.01, 96151, 0.185, 174957.0, 0.336, -19828, -0.038, 85688.8, 0.165
'MUSCLE_diversified_replicate.abc.29.afa', 31263.0, 0.061, 32676, 0.064, 4817, 0.009, 94043, 0.184, 169827.0, 0.332, -21644, -0.042, 81204.4, 0.159
'MUSCLE_diversified_replicate.abc.293.afa', 32416.0, 0.065, 30854, 0.062, 4870, 0.01, 95381, 0.191, 176162.0, 0.352, -20173, -0.04, 88212.8, 0.176
'MUSCLE_diversified_replicate.abc.297.afa', 32067.0, 0.063, 30925, 0.061, 5013, 0.01, 95937, 0.188, 174531.0, 0.342, -19891, -0.039, 85322.6, 0.167
'MUSCLE_diversified_replicate.abc.301.afa', 31548.0, 0.053, 33613, 0.057, 4952, 0.008, 91599, 0.155, 171167.0, 0.289, -23077, -0.039, 80250.2, 0.136
'MUSCLE_diversified_replicate.abc.305.afa', 32284.0, 0.063, 30785, 0.06, 5163, 0.01, 95783, 0.187, 175664.0, 0.342, -19024, -0.037, 85853.4, 0.167
'MUSCLE_diversified_replicate.abc.309.afa', 31841.0, 0.063, 32628, 0.064, 4974, 0.01, 92983, 0.184, 173193.0, 0.342, -21668, -0.043, 83188.4, 0.164
'MUSCLE_diversified_replicate.abc.313.afa', 31212.0, 0.058, 33097, 0.061, 5018, 0.009, 93303, 0.173, 169949.0, 0.315, -23248, -0.043, 77860.4, 0.144
'MUSCLE_diversified_replicate.abc.317.afa', 31080.0, 0.058, 32920, 0.061, 5061, 0.009, 93921, 0.174, 169115.0, 0.314, -22960, -0.043, 76760.8, 0.142
'MUSCLE_diversified_replicate.abc.321.afa', 32545.0, 0.065, 30511, 0.061, 5009, 0.01, 95809, 0.191, 176852.0, 0.352, -18695, -0.037, 88905.2, 0.177
'MUSCLE_diversified_replicate.abc.325.afa', 31912.0, 0.064, 32131, 0.064, 4946, 0.01, 93835, 0.187, 173446.0, 0.345, -21393, -0.043, 83826.0, 0.167
'MUSCLE_diversified_replicate.abc.329.afa', 31591.0, 0.059, 32853, 0.062, 5037, 0.009, 93033, 0.175, 171647.0, 0.322, -22542, -0.042, 80128.4, 0.15
'MUSCLE_diversified_replicate.abc.33.afa', 31577.0, 0.06, 32637, 0.062, 4970, 0.009, 93493, 0.177, 171713.0, 0.325, -22260, -0.042, 81054.4, 0.154
